RowNumber,CustomerId,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634602,619,42,2,0,1,1,1,101348.88,1
2,15647311,608,41,1,83807.86,1,0,1,112542.58,0
3,15619304,502,42,8,159660.8,3,1,0,113931.57,1
4,15701354,699,39,1,0,2,0,0,93826.63,0
5,15737888,850,43,2,125510.82,1,1,1,79084.1,0
6,15574012,645,44,8,113755.78,2,1,0,149756.71,1
7,15592531,822,50,7,0,2,1,1,10062.8,0
8,15656148,376,29,4,115046.74,4,1,0,119346.88,1
9,15792365,501,44,4,142051.07,2,0,1,74940.5,0
10,15592389,684,27,2,134603.88,1,1,1,71725.73,0
11,15767821,528,31,6,102016.72,2,0,0,80181.12,0
12,15737173,497,24,3,0,2,1,0,76390.01,0
13,15632264,476,34,10,0,2,1,0,26260.98,0
14,15691483,549,25,5,0,2,0,0,190857.79,0
15,15600882,635,35,7,0,2,1,1,65951.65,0
16,15643966,616,45,3,143129.41,2,0,1,64327.26,0
17,15737452,653,58,1,132602.88,1,1,0,5097.67,1
18,15788218,549,24,9,0,2,1,1,14406.41,0
19,15661507,587,45,6,0,1,0,0,158684.81,0
20,15568982,726,24,6,0,2,1,1,54724.03,0
21,15577657,732,41,8,0,2,1,1,170886.17,0
22,15597945,636,32,8,0,2,1,0,138555.46,0
23,15699309,510,38,4,0,1,1,0,118913.53,1
24,15725737,669,46,3,0,2,0,1,8487.75,0
25,15625047,846,38,5,0,1,1,1,187616.16,0
26,15738191,577,25,3,0,2,0,1,124508.29,0
27,15736816,756,36,2,136815.64,1,1,1,170041.95,0
28,15700772,571,44,9,0,2,0,0,38433.35,0
29,15728693,574,43,3,141349.43,1,1,1,100187.43,0
30,15656300,411,29,0,59697.17,2,1,1,53483.21,0
31,15589475,591,39,3,0,3,1,0,140469.38,1
32,15706552,533,36,7,85311.7,1,0,1,156731.91,0
33,15750181,553,41,9,110112.54,2,0,0,81898.81,0
34,15659428,520,42,6,0,2,1,1,34410.55,0
35,15732963,722,29,9,0,2,1,1,142033.07,0
36,15794171,475,45,0,134264.04,1,1,0,27822.99,1
37,15788448,490,31,3,145260.23,1,0,1,114066.77,0
38,15729599,804,33,7,76548.6,1,0,1,98453.45,0
39,15717426,850,36,7,0,1,1,1,40812.9,0
40,15585768,582,41,6,70349.48,2,0,1,178074.04,0
41,15619360,472,40,4,0,1,1,0,70154.22,0
42,15738148,465,51,8,122522.32,1,0,0,181297.65,1
43,15687946,556,61,2,117419.35,1,1,1,94153.83,0
44,15755196,834,49,2,131394.56,1,0,0,194365.76,1
45,15684171,660,61,5,155931.11,1,1,1,158338.39,0
46,15754849,776,32,4,109421.13,2,1,1,126517.46,0
47,15602280,829,27,9,112045.67,1,1,1,119708.21,1
48,15771573,637,39,9,137843.8,1,1,1,117622.8,1
49,15766205,550,38,2,103391.38,1,0,1,90878.13,0
50,15771873,776,37,2,103769.22,2,1,0,194099.12,0
51,15616550,698,44,10,116363.37,2,1,0,198059.16,0
52,15768193,585,36,5,146050.97,2,0,0,86424.57,0
53,15683553,788,33,5,0,2,0,0,116978.19,0
54,15702298,655,41,8,125561.97,1,0,0,164040.94,1
55,15569590,601,42,1,98495.72,1,1,0,40014.76,1
56,15760861,619,43,1,125211.92,1,1,1,113410.49,0
57,15630053,656,45,5,127864.4,1,1,0,87107.57,0
58,15647091,725,19,0,75888.2,1,0,0,45613.75,0
59,15623944,511,66,4,0,1,1,0,1643.11,1
60,15804771,614,51,4,40685.92,1,1,1,46775.28,0
61,15651280,742,35,5,136857,1,0,0,84509.57,0
62,15773469,687,27,9,152328.88,2,0,0,126494.82,0
63,15702014,555,33,1,56084.69,2,0,0,178798.13,0
64,15751208,684,56,8,78707.16,1,1,1,99398.36,0
65,15592461,603,26,4,109166.37,1,1,1,92840.67,0
66,15789484,751,36,6,169831.46,2,1,1,27758.36,0
67,15696061,581,34,1,101633.04,1,1,0,110431.51,0
68,15641582,735,43,10,123180.01,2,1,1,196673.28,0
69,15638424,661,35,5,150725.53,2,0,1,113656.85,0
70,15755648,675,21,8,98373.26,1,1,0,18203,0
71,15703793,738,58,2,133745.44,4,1,0,28373.86,1
72,15620344,813,29,6,0,1,1,0,33953.87,0
73,15812518,657,37,0,163607.18,1,0,1,44203.55,0
74,15779052,604,25,5,157780.84,2,1,1,58426.81,0
75,15770811,519,36,9,0,2,0,1,145562.4,0
76,15780961,735,21,1,178718.19,2,1,0,22388,0
77,15614049,664,55,8,0,2,1,1,139161.64,0
78,15662085,678,32,9,0,1,1,1,148210.64,0
79,15575185,757,33,5,77253.22,1,0,1,194239.63,0
80,15803136,416,41,10,122189.66,2,1,0,98301.61,0
81,15706021,665,34,1,96645.54,2,0,0,171413.66,0
82,15663706,777,32,2,0,1,1,0,136458.19,1
83,15641732,543,36,3,0,2,0,0,26019.59,0
84,15701164,506,34,4,90307.62,1,1,1,159235.29,0
85,15738751,493,46,4,0,2,1,0,1907.66,0
86,15805254,652,75,10,0,2,1,1,114675.75,0
87,15762418,750,22,3,121681.82,1,1,0,128643.35,1
88,15625759,729,30,9,0,2,1,0,151869.35,0
89,15622897,646,46,4,0,3,1,0,93251.42,1
90,15767954,635,28,3,81623.67,2,1,1,156791.36,0
91,15757535,647,44,5,0,3,1,1,174205.22,1
92,15731511,808,45,7,118626.55,2,1,0,147132.46,0
93,15809248,524,36,10,0,2,1,0,109614.57,0
94,15640635,769,29,8,0,2,1,1,172290.61,0
95,15676966,730,42,4,0,2,0,1,85982.47,0
96,15699461,515,35,10,176273.95,1,0,1,121277.78,0
97,15738721,773,41,9,102827.44,1,0,1,64595.25,0
98,15693683,814,29,8,97086.4,2,1,1,197276.13,0
99,15604348,710,22,8,0,2,0,0,99645.04,0
100,15633059,413,34,9,0,2,0,0,6534.18,0
101,15808582,665,40,6,0,1,1,1,161848.03,0
102,15743192,623,44,6,0,2,0,0,167162.43,0
103,15580146,738,31,9,82674.15,1,1,0,41970.72,0
104,15776605,528,36,7,0,2,1,0,60536.56,0
105,15804919,670,65,1,0,1,1,1,177655.68,1
106,15613854,622,46,4,107073.27,2,1,1,30984.59,1
107,15599195,582,32,1,88938.62,1,1,1,10054.53,0
108,15812878,785,36,2,99806.85,1,0,1,36976.52,0
109,15602312,605,33,5,150092.8,1,0,0,71862.79,0
110,15744689,479,35,9,92833.89,1,1,0,99449.86,1
111,15803526,685,30,3,90536.81,1,0,1,63082.88,0
112,15665790,538,39,7,108055.1,2,1,0,27231.26,0
113,15715951,562,42,2,100238.35,1,0,0,86797.41,0
114,15591100,675,36,9,106190.55,1,0,1,22994.32,0
115,15609618,721,28,9,154475.54,2,0,1,101300.94,1
116,15675522,628,30,9,132351.29,2,1,1,74169.13,0
117,15705512,668,37,6,167864.4,1,1,0,115638.29,0
118,15698028,506,41,1,0,2,1,0,31766.3,0
119,15661670,524,31,8,107818.63,1,1,0,199725.39,1
120,15600781,699,34,4,185173.81,2,1,0,120834.48,0
121,15682472,828,34,8,129433.34,2,0,0,38131.77,0
122,15580203,674,39,6,120193.42,1,0,0,100130.95,0
123,15690673,656,39,6,0,2,1,0,141069.88,0
124,15760085,684,48,10,126384.42,1,1,1,198129.36,0
125,15779659,625,28,3,0,1,0,0,183646.41,0
126,15627360,432,42,9,152603.45,1,1,0,110265.24,1
127,15671137,549,52,1,0,1,0,1,8636.05,1
128,15782688,625,56,0,148507.24,1,1,0,46824.08,1
129,15575492,828,41,7,0,2,1,0,171378.77,0
130,15591607,770,24,9,101827.07,1,1,0,167256.35,0
131,15740404,758,34,3,0,2,1,1,124226.16,0
132,15718369,795,33,9,130862.43,1,1,1,114935.21,0
133,15677871,687,38,9,122570.87,1,1,1,35608.88,0
134,15642004,686,25,1,0,2,0,1,16459.37,0
135,15712543,789,39,7,124828.46,2,1,1,124411.08,0
136,15584518,589,50,5,144895.05,2,1,1,34941.23,0
137,15802381,461,34,5,63663.93,1,0,1,167784.28,0
138,15610156,637,40,2,133463.1,1,0,1,93165.34,0
139,15594408,584,48,2,213146.2,1,1,0,75161.25,1
140,15640905,579,35,1,129490.36,2,0,1,8590.83,1
141,15698932,756,44,10,137452.09,1,1,0,189543.9,0
142,15724944,663,34,7,0,2,1,1,180427.24,0
143,15628145,682,43,5,125851.93,1,1,1,193318.33,0
144,15713483,793,52,2,0,1,1,0,159123.82,1
145,15612350,691,31,5,40915.55,1,1,0,126213.84,1
146,15800703,485,21,5,113157.22,1,1,1,54141.5,0
147,15705707,635,29,8,138296.94,2,1,0,141075.51,0
148,15754105,650,37,5,106967.18,1,0,0,24495.03,0
149,15703264,735,44,9,120681.63,1,1,0,74836.34,0
150,15794413,416,32,0,0,2,0,1,878.87,0
151,15650237,754,32,7,0,2,1,0,89520.75,0
152,15759618,535,48,9,0,1,1,0,149892.79,1
153,15811589,716,42,8,0,2,1,0,180800.42,0
154,15689044,539,37,2,127609.59,1,1,0,98646.22,0
155,15709368,614,43,6,0,2,1,1,109041.53,0
156,15679145,706,57,7,0,1,1,0,17941.16,1
157,15655007,758,33,7,0,2,0,0,82996.47,0
158,15623595,586,28,2,0,2,1,1,92067.35,0
159,15589975,646,73,6,97259.25,1,0,1,104719.66,0
160,15804017,631,33,4,123246.7,1,0,0,112687.57,0
161,15692132,717,22,6,101060.25,1,0,1,84699.56,0
162,15641122,684,30,2,0,2,1,0,83473.82,0
163,15630910,800,49,7,108007.36,1,0,0,47125.11,0
164,15680772,721,36,2,0,2,1,1,106977.8,0
165,15658929,683,29,0,133702.89,1,1,0,55582.54,1
166,15585388,660,31,9,125189.75,2,1,1,139874.43,0
167,15724623,704,24,7,113034.22,1,1,0,162503.48,1
168,15588537,615,41,9,109013.23,1,1,0,196499.96,0
169,15574692,667,39,2,0,2,1,0,40721.24,1
170,15611325,682,24,9,57929.81,2,0,0,53134.3,0
171,15587562,484,29,4,130114.39,1,1,0,164017.89,0
172,15613172,628,27,5,95826.49,2,1,0,155996.96,0
173,15651022,480,44,10,129608.57,1,1,0,5472.7,1
174,15586310,578,30,4,169462.09,1,1,0,112187.11,0
175,15625524,512,40,5,0,2,1,1,146457.83,0
176,15755209,484,35,7,133868.21,1,1,1,27286.1,0
177,15645248,510,30,0,0,2,1,1,130553.47,0
178,15790355,606,36,5,190479.48,2,0,0,179351.89,0
179,15762615,597,40,8,101993.12,1,0,1,94774.12,0
180,15625426,754,55,3,161608.81,1,1,0,8080.85,1
181,15716334,850,45,2,122311.21,1,1,1,19482.5,0
182,15789669,510,65,2,0,2,1,1,48071.61,0
183,15621075,778,45,1,162150.42,2,1,0,174531.27,0
184,15810845,636,42,2,0,2,1,1,55470.78,0
185,15719377,804,50,4,0,1,1,1,8546.87,1
186,15654506,514,32,8,0,2,1,0,95857.18,0
187,15771977,730,39,1,99010.67,1,1,0,194945.8,0
188,15708710,525,37,0,0,1,0,1,131521.72,0
189,15726676,616,30,5,0,2,0,1,196108.51,0
190,15587421,687,34,7,111388.18,2,1,0,148564.76,0
191,15726931,715,41,8,56214.85,2,0,0,92982.61,1
192,15771086,512,36,3,84327.77,2,1,0,17675.36,0
193,15756850,479,40,1,0,2,0,0,114996.43,0
194,15702741,601,32,8,93012.89,1,1,0,86957.42,0
195,15679200,580,29,9,61710.44,2,1,0,128077.8,0
196,15594815,807,35,3,174790.15,1,1,1,600.36,0
197,15635905,616,32,6,0,2,1,1,43001.46,0
198,15777892,721,37,3,107720.64,1,1,1,158591.12,0
199,15656176,501,57,10,0,2,1,1,47847.19,0
200,15811127,521,35,6,96423.84,1,1,0,10488.44,0
201,15604482,850,30,2,141040.01,1,1,1,5978.2,0
202,15622911,759,42,4,105420.18,1,0,1,121409.06,0
203,15600974,516,50,5,0,1,0,1,146145.93,1
204,15727868,711,38,2,129022.06,2,1,1,14374.86,1
205,15627801,512,33,3,176666.62,1,1,0,94670.77,0
206,15773039,550,37,3,0,1,1,1,179670.31,0
207,15755262,608,41,3,89763.84,1,0,0,199304.74,1
208,15679531,618,34,5,134954.53,1,1,1,151954.39,0
209,15684181,643,45,5,0,1,1,0,142513.5,1
210,15612087,671,45,2,106376.85,1,0,1,158264.62,0
211,15752047,689,33,2,161814.64,2,1,0,169381.9,0
212,15624592,603,31,8,0,2,1,1,169915.02,0
213,15573152,620,41,9,0,2,0,0,88852.47,0
214,15594917,676,34,1,63095.01,1,1,1,40645.81,0
215,15785542,572,26,4,118287.01,2,0,0,60427.3,0
216,15723488,668,47,7,106854.21,1,0,1,157959.02,1
217,15680920,695,46,7,49512.55,1,1,0,133007.34,0
218,15786308,730,33,9,0,2,0,0,176576.62,0
219,15659366,807,43,1,105799.32,2,1,0,34888.04,1
220,15774854,592,54,8,0,1,1,1,28737.71,1
221,15725311,726,31,9,114722.05,2,1,1,98178.57,0
222,15787155,514,30,7,0,1,0,1,125010.24,0
223,15727829,567,42,2,0,2,1,1,167984.61,0
224,15733247,850,33,10,0,1,1,0,4861.72,1
225,15568748,671,45,6,99564.22,1,1,1,108872.45,1
226,15699029,670,37,4,170557.91,2,1,0,198252.88,0
227,15774393,694,30,9,0,2,1,1,26960.31,0
228,15676895,547,39,6,74596.15,3,1,1,85746.52,1
229,15637753,751,50,2,96888.39,1,1,0,77206.25,1
230,15605461,594,29,3,130830.22,1,1,0,61048.53,0
231,15808473,673,72,1,0,2,0,1,111981.19,0
232,15627000,610,40,0,0,2,1,0,62232.6,0
233,15787174,512,37,1,0,2,0,1,156105.03,0
234,15723886,767,20,3,119714.25,2,0,1,150135.38,0
235,15704769,585,67,5,113978.97,2,0,1,93146.11,0
236,15772896,763,42,6,100160.75,1,1,0,33462.94,1
237,15711540,712,29,2,0,1,1,1,144375,0
238,15764866,539,43,3,116220.5,3,1,0,55803.96,1
239,15794056,668,46,2,0,3,1,0,89048.46,1
240,15795149,703,28,2,81173.83,2,0,1,162812.16,0
241,15812009,662,38,4,0,2,1,0,136259.65,0
242,15651001,725,39,5,116803.8,1,1,0,124052.97,0
243,15813844,703,37,8,105961.68,2,0,1,74158.8,0
244,15596175,659,67,6,117411.6,1,1,1,45071.09,1
245,15576269,523,34,7,0,2,1,0,62030.06,0
246,15797219,635,40,10,123497.58,1,1,0,131953.23,1
247,15685500,772,26,7,152400.51,2,1,0,79414,0
248,15599792,545,26,1,0,2,1,1,199638.56,0
249,15657566,634,24,8,103097.85,1,1,1,157577.29,0
250,15772423,739,54,8,126418.14,1,1,0,134420.75,1
251,15628112,771,36,5,77846.9,1,0,0,99805.99,0
252,15753754,587,34,1,0,2,1,1,97932.68,0
253,15793726,681,79,0,0,2,0,1,170968.99,0
254,15694717,544,37,2,79731.91,1,1,1,57558.95,0
255,15665834,696,28,8,0,1,0,0,176713.47,0
256,15765297,766,41,0,0,2,0,1,34283.23,0
257,15636684,727,34,10,0,2,1,1,198637.34,0
258,15592979,671,34,6,37266.67,2,0,0,156917.12,0
259,15750803,693,30,6,127992.25,1,1,1,50457.2,0
260,15607178,850,38,3,54901.01,1,1,1,140075.55,0
261,15713853,732,42,9,108748.08,2,1,1,65323.11,0
262,15673481,726,48,6,99906.19,1,1,0,64323.24,0
263,15686776,557,32,6,184686.41,2,1,0,14956.44,0
264,15673693,682,26,0,110654.02,1,0,1,111879.21,0
265,15700696,738,31,9,79019.8,1,1,1,18606.23,0
266,15813163,531,36,9,99240.51,1,1,0,123137.01,0
267,15653857,498,34,2,0,2,1,1,148528.24,0
268,15777076,651,36,7,0,2,1,0,13898.31,0
269,15717398,549,39,7,0,1,0,0,81259.25,1
270,15799217,791,35,7,52436.2,1,1,0,161051.75,0
271,15787071,650,41,9,0,2,0,1,191599.67,0
272,15619955,733,34,3,100337.96,3,1,0,48559.19,1
273,15796505,811,34,1,149297.19,2,1,1,186339.74,0
274,15725166,707,30,8,0,2,1,0,33159.37,0
275,15800116,712,28,4,145605.44,1,0,1,93883.53,0
276,15758685,706,37,7,0,2,1,1,110899.3,0
277,15694456,756,62,3,0,1,1,1,11199.04,1
278,15767339,777,53,10,0,2,1,0,189992.97,0
279,15683562,646,35,6,84026.86,1,0,1,164255.69,0
280,15782210,714,46,1,0,1,1,0,152167.79,1
281,15668893,782,39,8,0,2,1,1,33949.67,0
282,15669169,775,29,10,0,2,1,1,68143.93,0
283,15643024,479,35,4,138718.92,1,1,1,47251.79,1
284,15699389,807,42,7,118274.71,1,1,1,25885.72,0
285,15708608,799,22,8,174185.98,2,0,1,192633.85,0
286,15626144,675,40,7,113208.86,2,1,0,34577.36,0
287,15573112,602,29,5,103907.28,1,1,0,161229.84,0
288,15790678,475,32,8,119023.28,1,1,0,100816.29,0
289,15727556,744,26,5,166297.89,1,1,1,181694.44,0
290,15697307,588,34,10,0,2,1,0,79078.91,0
291,15652266,703,42,9,63227,1,0,1,137316.32,0
292,15607098,747,41,5,94521.17,2,1,0,194926.86,0
293,15655774,583,27,7,0,2,1,0,51285.49,0
294,15590241,750,34,9,112822.26,1,0,0,150401.53,1
295,15785819,681,38,3,0,2,1,1,112491.96,0
296,15723654,773,25,2,135903.33,1,1,0,73656.38,0
297,15774510,714,31,4,125169.26,1,1,1,106636.89,0
298,15684173,687,44,7,0,3,1,0,155853.52,1
299,15650068,511,58,0,149117.31,1,1,1,162599.51,0
300,15811490,627,33,5,0,2,1,1,103737.82,0
301,15803976,694,31,10,0,2,1,0,160990.27,0
302,15682541,616,36,6,132311.71,1,0,0,15462.84,0
303,15695699,687,35,8,0,2,1,0,10334.05,0
304,15624188,712,33,6,0,2,1,1,190686.16,0
305,15812191,553,33,4,118082.89,1,0,0,94440.45,0
306,15636673,667,31,1,119266.69,1,1,1,28257.63,0
307,15594898,731,43,2,0,1,1,1,170034.95,1
308,15660211,629,35,7,156847.29,2,1,0,31824.29,0
309,15773972,614,50,4,137104.47,1,1,0,127166.49,1
310,15746726,438,31,8,78398.69,1,1,0,44937.01,0
311,15712287,652,80,4,0,2,1,1,188603.07,0
312,15702919,729,30,6,63669.42,1,1,0,145111.37,0
313,15674398,642,38,3,0,2,0,0,171463.83,0
314,15797960,806,59,0,135296.33,1,1,0,182822.5,0
315,15631868,744,36,2,153804.44,1,1,1,87213.33,0
316,15581539,474,37,3,0,2,0,0,57175.32,0
317,15662736,559,49,2,147069.78,1,1,0,120540.83,1
318,15666252,706,42,9,0,2,1,1,28714.34,0
319,15677512,628,22,3,0,1,1,0,85426.28,0
320,15626114,429,24,4,95741.75,1,1,0,46170.75,0
321,15810834,525,57,2,145965.33,1,1,1,64448.36,0
322,15678910,680,30,8,141441.75,1,1,1,16278.97,0
323,15694408,749,40,1,139290.41,1,1,0,182855.42,1
324,15585215,763,31,4,0,2,0,0,50404.72,0
325,15682757,734,30,3,0,2,1,0,107640.25,0
326,15736601,716,35,4,144428.87,1,1,0,134132.65,0
327,15601848,594,35,2,0,2,1,0,103480.69,0
328,15736008,644,46,9,95441.27,1,1,0,108761.05,1
329,15669064,671,35,1,144848.74,1,1,1,179012.3,0
